0;81;126;161;land;false;unknown;0
1;81;126;161;land;false;unknown;0
2;99;74;135;land;false;unknown;0
3;79;133;194;land;false;unknown;0
4;136;70;102;land;false;unknown;0
5;76;99;122;land;false;unknown;0
6;110;82;111;land;false;unknown;0
7;123;79;100;land;false;unknown;0
8;73;86;153;land;false;unknown;0
9;83;110;215;land;false;unknown;0
10;79;106;168;land;false;unknown;0
11;94;82;131;land;false;unknown;0
12;76;73;79;land;false;unknown;0
13;134;86;116;land;false;unknown;0
14;81;96;207;land;false;unknown;0
15;71;142;202;land;false;unknown;0
16;73;151;211;land;false;unknown;0
17;71;113;149;land;false;unknown;0
18;114;84;100;land;false;unknown;0
19;101;79;89;land;false;unknown;0
20;72;163;212;land;false;unknown;0
21;77;93;174;land;false;unknown;0
22;117;80;109;land;false;unknown;0
23;81;129;192;land;false;unknown;0
24;92;70;128;land;false;unknown;0
25;74;82;73;land;false;unknown;0
26;72;113;132;land;false;unknown;0
27;73;112;210;land;false;unknown;0
28;72;82;130;land;false;unknown;0
29;102;76;139;land;false;unknown;0
30;71;106;115;land;false;unknown;0
31;85;78;108;land;false;unknown;0
32;71;93;176;land;false;unknown;0
33;127;74;110;land;false;unknown;0
34;83;88;153;land;false;unknown;0
35;140;74;118;land;false;unknown;0
36;73;125;143;land;false;unknown;0
37;84;108;141;land;false;unknown;0
38;78;83;124;land;false;unknown;0
39;81;96;188;land;false;unknown;0
40;85;111;175;land;false;unknown;0
41;82;98;131;land;false;unknown;0
42;76;81;87;land;false;unknown;0
43;85;75;146;land;false;unknown;0
44;74;77;109;land;false;unknown;0
45;87;118;185;land;false;unknown;0
46;81;106;166;land;false;unknown;0
47;81;103;182;land;false;unknown;0
48;112;70;142;land;false;unknown;0
49;92;74;72;land;false;unknown;0
50;78;72;115;land;false;unknown;0
51;83;95;183;land;false;unknown;0
52;87;153;201;land;false;unknown;0
53;72;71;164;land;false;unknown;0
54;93;74;92;land;false;unknown;0
55;71;87;93;land;false;unknown;0
56;76;102;130;land;false;unknown;0
57;73;142;211;land;false;unknown;0
58;71;76;189;land;false;unknown;0
59;74;76;136;land;false;unknown;0
60;87;129;182;land;false;unknown;0
61;71;90;91;land;false;unknown;0
62;86;82;102;land;false;unknown;0
63;73;75;194;land;false;unknown;0
64;124;76;138;land;false;unknown;0
65;71;107;187;land;false;unknown;0
66;87;89;165;land;false;unknown;0
67;71;80;149;land;false;unknown;0
68;87;115;159;land;false;unknown;0
69;100;72;90;land;false;unknown;0
70;73;129;175;land;false;unknown;0
71;85;142;188;land;false;unknown;0
72;76;99;118;land;false;unknown;0
73;135;84;129;land;false;unknown;0
74;71;125;210;land;false;unknown;0
75;84;95;106;land;false;unknown;0
76;81;105;121;land;false;unknown;0
77;127;72;117;land;false;unknown;0
78;85;120;146;land;false;unknown;0
79;85;130;164;land;false;unknown;0
80;111;78;132;land;false;unknown;0
81;77;148;219;land;false;unknown;0
82;73;84;177;land;false;unknown;0
83;90;76;134;land;false;unknown;0
84;73;78;166;land;false;unknown;0
85;106;87;146;land;false;unknown;0
86;81;72;109;land;false;unknown;0
87;76;72;140;land;false;unknown;0
88;81;100;193;land;false;unknown;0
89;73;119;129;land;false;unknown;0
90;92;87;172;land;false;unknown;0
91;81;119;211;land;false;unknown;0
92;81;127;173;land;false;unknown;0
93;83;125;184;land;false;unknown;0
94;84;111;130;land;false;unknown;0
95;78;93;134;land;false;unknown;0
96;111;76;130;land;false;unknown;0
97;73;84;180;land;false;unknown;0
98;71;99;107;land;false;unknown;0
99;140;84;142;land;false;unknown;0
100;75;106;164;land;false;unknown;0
101;72;84;130;land;false;unknown;0
102;73;89;165;land;false;unknown;0
